,pizza,beaver,macadamia,tarantula,clothes,doormat,hammer,mistletoe,washcloth,drain,furnace,tea,chariot,coaster,music box,rolling pin,knob,bookshelf,candelabra,table,metal detector,bumper,turban,flagpole,plaster cast,tuba,camera,rudder,canvas,dice,toolbox,trigger,bowler hat,headphones,file,bench,navel,canister,tiara,hopscotch,trophy,punching bag,jet,telegraph,bag,laptop,tape measure,bucket
pizza,1,0.02,,0.02,0.13,0.10,0.11,0.04,0.01,0.03,0.07,0.18,-0.03,0.20,0.13,0.10,-0.04,0.11,0.02,0.13,0.05,0.04,0.06,0.10,0.02,0.13,0.07,0.02,-0.00,0.10,0.01,0.04,0.06,0.01,-0.02,0.09,-0.05,0.09,0.00,0.06,0.06,0.21,0.06,-0.01,0.23,,0.06,0.10
beaver,0.02,1,,0.07,0.16,0.02,0.12,0.15,0.05,0.05,0.01,0.06,-0.00,0.03,0.03,0.17,0.07,-0.02,0.06,0.04,-0.00,0.03,-0.00,0.06,0.10,0.02,0.02,0.09,0.18,0.02,0.07,0.15,0.17,-0.01,0.04,0.06,0.05,-0.02,-0.02,0.05,0.13,0.16,0.03,0.01,0.19,,0.03,0.26
macadamia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tarantula,0.02,0.07,,1,-0.00,-0.00,0.02,0.05,-0.01,-0.01,0.02,0.02,-0.10,0.06,0.06,0.04,0.05,-0.06,0.01,0.05,-0.03,-0.07,-0.04,-0.02,-0.02,0.01,0.06,0.03,0.05,0.01,-0.08,0.09,-0.02,-0.02,-0.00,0.04,0.16,-0.05,-0.00,0.13,-0.05,0.02,0.11,-0.05,0.02,,0.02,0.05
clothes,0.13,0.16,,-0.00,1,0.15,0.11,0.07,0.09,0.12,0.08,0.19,0.14,0.04,0.13,0.22,0.08,0.14,0.18,0.10,0.07,0.11,0.12,0.07,0.11,0.04,0.07,0.02,0.30,0.02,0.08,0.10,0.53,0.14,0.00,0.21,0.02,0.20,0.25,0.11,0.05,0.34,0.07,0.03,0.37,,0.06,0.21
doormat,0.10,0.02,,-0.00,0.15,1,0.17,0.08,0.10,0.06,0.09,0.09,-0.05,0.09,0.04,0.13,0.04,0.07,-0.06,0.07,0.09,0.10,0.01,-0.00,0.06,0.05,-0.05,-0.08,0.00,0.06,0.05,0.06,0.13,0.10,0.01,0.06,0.01,0.05,-0.06,0.01,0.04,0.18,0.02,-0.02,0.22,,0.06,0.22
hammer,0.11,0.12,,0.02,0.11,0.17,1,0.11,0.08,0.12,0.24,0.02,-0.00,0.05,0.14,0.43,0.22,0.03,0.03,0.08,0.41,0.18,0.13,0.11,0.26,0.08,-0.00,0.14,0.20,0.04,0.11,0.17,0.24,0.06,0.05,0.33,0.06,0.01,0.03,0.01,0.12,0.21,0.00,-0.00,0.18,,0.16,0.17
mistletoe,0.04,0.15,,0.05,0.07,0.08,0.11,1,0.05,0.01,-0.02,-0.03,-0.02,0.00,0.07,0.03,0.02,0.03,-0.02,-0.02,-0.00,0.07,0.01,0.07,0.04,-0.00,0.03,0.01,0.12,-0.01,0.01,0.04,0.04,-0.08,-0.00,0.10,-0.03,-0.01,-0.09,0.05,-0.11,0.18,-0.03,0.00,0.17,,-0.02,0.07
washcloth,0.01,0.05,,-0.01,0.09,0.10,0.08,0.05,1,0.12,0.02,0.09,0.04,-0.04,0.03,0.11,0.06,-0.03,-0.07,0.12,-0.00,0.09,-0.09,-0.08,-0.01,0.02,0.01,0.01,-0.00,0.04,0.03,0.11,0.08,-0.04,-0.03,0.14,0.09,-0.09,0.06,0.02,0.03,0.06,0.06,-0.07,0.04,,0.02,0.06
drain,0.03,0.05,,-0.01,0.12,0.06,0.12,0.01,0.12,1,0.10,0.04,-0.05,0.05,0.09,0.28,0.14,0.08,-0.02,0.08,0.09,0.09,-0.00,-0.05,0.19,0.01,0.03,0.12,0.02,0.04,0.21,0.08,0.05,-0.02,-0.01,0.16,0.07,0.16,-0.03,-0.00,0.05,0.11,0.05,0.06,0.14,,0.07,0.36
furnace,0.07,0.01,,0.02,0.08,0.09,0.24,-0.02,0.02,0.10,1,0.09,-0.01,0.02,0.08,0.13,0.09,0.01,0.04,0.06,0.58,0.12,-0.01,0.03,0.30,0.05,0.09,0.05,0.04,0.02,0.02,0.11,0.04,-0.02,0.03,0.08,0.04,0.01,-0.04,-0.03,0.03,0.09,0.14,0.06,0.04,,0.00,0.11
tea,0.18,0.06,,0.02,0.19,0.09,0.02,-0.03,0.09,0.04,0.09,1,0.01,0.00,0.10,0.14,0.03,0.06,0.11,0.38,0.04,0.00,0.07,0.07,0.09,0.11,-0.01,0.00,0.12,0.12,0.02,0.07,0.30,0.03,0.01,0.20,-0.04,0.10,0.14,0.06,0.09,0.18,0.05,0.02,0.23,,0.04,0.27
chariot,-0.03,-0.00,,-0.10,0.14,-0.05,-0.00,-0.02,0.04,-0.05,-0.01,0.01,1,0.06,-0.02,0.08,0.03,0.07,0.00,0.05,-0.00,0.03,0.07,0.00,0.10,-0.02,0.01,0.08,0.12,0.12,-0.07,-0.00,-0.03,0.09,-0.01,-0.00,-0.05,-0.01,0.22,0.02,-0.02,-0.00,0.06,-0.02,-0.01,,0.06,0.01
coaster,0.20,0.03,,0.06,0.04,0.09,0.05,0.00,-0.04,0.05,0.02,0.00,0.06,1,0.05,0.18,-0.01,0.03,0.01,0.10,0.03,0.09,0.12,0.13,0.06,0.03,0.09,0.13,0.10,-0.03,0.06,0.08,0.11,0.02,-0.01,0.07,-0.02,0.01,-0.02,0.04,0.08,0.08,0.24,0.06,0.09,,0.00,0.11
music box,0.13,0.03,,0.06,0.13,0.04,0.14,0.07,0.03,0.09,0.08,0.10,-0.02,0.05,1,0.19,0.11,0.16,0.08,0.10,0.09,0.15,0.05,0.17,0.14,0.19,0.09,0.04,0.18,0.04,0.06,0.06,0.21,0.09,0.04,0.15,-0.04,0.07,0.06,0.18,0.05,0.27,0.04,0.02,0.29,,0.22,0.20
rolling pin,0.10,0.17,,0.04,0.22,0.13,0.43,0.03,0.11,0.28,0.13,0.14,0.08,0.18,0.19,1,0.34,0.04,-0.05,0.15,0.22,0.29,0.22,0.17,0.26,0.05,0.01,0.25,0.28,0.08,-0.01,0.16,0.31,0.05,0.00,0.30,0.08,0.01,0.08,0.11,0.20,0.25,0.14,0.00,0.23,,0.12,0.24
knob,-0.04,0.07,,0.05,0.08,0.04,0.22,0.02,0.06,0.14,0.09,0.03,0.03,-0.01,0.11,0.34,1,0.13,0.11,0.08,0.20,0.24,0.07,0.10,0.09,-0.03,0.04,0.17,0.16,0.08,0.02,0.13,0.12,0.11,0.05,0.25,0.04,0.04,0.01,0.05,0.18,0.13,0.15,0.06,0.13,,0.22,0.18
bookshelf,0.11,-0.02,,-0.06,0.14,0.07,0.03,0.03,-0.03,0.08,0.01,0.06,0.07,0.03,0.16,0.04,0.13,1,0.13,0.12,-0.01,0.08,-0.12,-0.00,0.03,0.14,0.02,-0.03,-0.00,0.05,0.09,-0.00,0.13,0.02,0.13,0.08,-0.01,0.11,0.05,0.16,-0.01,0.25,0.03,0.03,0.25,,0.03,0.08
candelabra,0.02,0.06,,0.01,0.18,-0.06,0.03,-0.02,-0.07,-0.02,0.04,0.11,0.00,0.01,0.08,-0.05,0.11,0.13,1,0.03,0.09,-0.03,0.01,0.05,0.06,0.03,0.10,-0.07,0.09,0.03,0.12,-0.03,0.24,0.10,0.04,0.18,0.02,0.13,0.17,0.12,0.05,0.31,0.07,0.04,0.24,,0.07,0.15
table,0.13,0.04,,0.05,0.10,0.07,0.08,-0.02,0.12,0.08,0.06,0.38,0.05,0.10,0.10,0.15,0.08,0.12,0.03,1,0.10,0.07,0.08,0.03,0.10,-0.01,0.04,0.04,0.05,0.13,0.02,0.10,0.20,-0.01,0.02,0.31,0.01,0.19,0.08,0.14,0.14,0.14,0.05,-0.00,0.13,,0.13,0.27
metal detector,0.05,-0.00,,-0.03,0.07,0.09,0.41,-0.00,-0.00,0.09,0.58,0.04,-0.00,0.03,0.09,0.22,0.20,-0.01,0.09,0.10,1,0.10,0.02,0.03,0.35,0.02,0.01,0.06,0.11,0.03,0.03,0.14,0.06,0.07,0.07,0.20,0.01,0.04,0.05,0.01,0.08,0.14,0.11,0.09,0.08,,0.11,0.08
bumper,0.04,0.03,,-0.07,0.11,0.10,0.18,0.07,0.09,0.09,0.12,0.00,0.03,0.09,0.15,0.29,0.24,0.08,-0.03,0.07,0.10,1,0.14,0.09,0.10,-0.05,0.02,0.03,0.11,0.02,0.05,0.04,0.10,-0.01,0.06,0.10,0.01,0.09,-0.03,0.09,0.06,0.14,-0.05,0.05,0.16,,0.01,0.07
turban,0.06,-0.00,,-0.04,0.12,0.01,0.13,0.01,-0.09,-0.00,-0.01,0.07,0.07,0.12,0.05,0.22,0.07,-0.12,0.01,0.08,0.02,0.14,1,0.14,0.14,-0.04,-0.06,0.11,0.12,-0.00,0.03,0.08,0.25,0.03,0.04,0.22,-0.01,0.04,0.15,-0.06,0.12,0.06,0.11,0.12,0.08,,-0.04,0.12
flagpole,0.10,0.06,,-0.02,0.07,-0.00,0.11,0.07,-0.08,-0.05,0.03,0.07,0.00,0.13,0.17,0.17,0.10,-0.00,0.05,0.03,0.03,0.09,0.14,1,0.02,0.06,0.02,0.11,0.05,0.02,-0.01,-0.02,0.23,0.02,-0.03,0.07,-0.03,0.08,0.06,0.04,0.11,0.19,0.07,-0.01,0.17,,0.05,0.16
plaster cast,0.02,0.10,,-0.02,0.11,0.06,0.26,0.04,-0.01,0.19,0.30,0.09,0.10,0.06,0.14,0.26,0.09,0.03,0.06,0.10,0.35,0.10,0.14,0.02,1,-0.01,0.13,0.06,0.25,0.14,0.14,0.02,0.12,0.04,0.02,0.17,-0.02,-0.00,0.12,-0.01,0.11,0.09,0.01,0.06,0.10,,0.06,0.19
tuba,0.13,0.02,,0.01,0.04,0.05,0.08,-0.00,0.02,0.01,0.05,0.11,-0.02,0.03,0.19,0.05,-0.03,0.14,0.03,-0.01,0.02,-0.05,-0.04,0.06,-0.01,1,0.04,0.05,-0.05,0.04,-0.01,0.02,0.10,0.12,-0.01,0.03,0.03,-0.04,0.04,0.12,-0.02,0.11,0.12,0.00,0.15,,0.06,-0.01
camera,0.07,0.02,,0.06,0.07,-0.05,-0.00,0.03,0.01,0.03,0.09,-0.01,0.01,0.09,0.09,0.01,0.04,0.02,0.10,0.04,0.01,0.02,-0.06,0.02,0.13,0.04,1,0.06,0.05,0.03,0.02,0.15,0.08,0.02,0.01,0.08,-0.01,0.06,0.01,-0.04,0.04,0.06,0.06,0.00,0.06,,0.09,0.07
rudder,0.02,0.09,,0.03,0.02,-0.08,0.14,0.01,0.01,0.12,0.05,0.00,0.08,0.13,0.04,0.25,0.17,-0.03,-0.07,0.04,0.06,0.03,0.11,0.11,0.06,0.05,0.06,1,0.32,-0.05,-0.01,0.15,0.00,-0.02,0.01,0.13,0.14,-0.00,-0.03,-0.06,0.17,0.12,0.27,-0.01,0.13,,0.10,0.19
canvas,-0.00,0.18,,0.05,0.30,0.00,0.20,0.12,-0.00,0.02,0.04,0.12,0.12,0.10,0.18,0.28,0.16,-0.00,0.09,0.05,0.11,0.11,0.12,0.05,0.25,-0.05,0.05,0.32,1,-0.00,0.09,0.10,0.29,0.02,0.01,0.17,0.15,0.00,0.19,0.13,0.15,0.26,0.07,0.03,0.29,,0.07,0.21
dice,0.10,0.02,,0.01,0.02,0.06,0.04,-0.01,0.04,0.04,0.02,0.12,0.12,-0.03,0.04,0.08,0.08,0.05,0.03,0.13,0.03,0.02,-0.00,0.02,0.14,0.04,0.03,-0.05,-0.00,1,0.09,0.04,0.08,-0.01,0.03,0.22,0.04,0.04,0.04,0.28,0.21,0.07,-0.02,-0.02,0.03,,0.11,0.06
toolbox,0.01,0.07,,-0.08,0.08,0.05,0.11,0.01,0.03,0.21,0.02,0.02,-0.07,0.06,0.06,-0.01,0.02,0.09,0.12,0.02,0.03,0.05,0.03,-0.01,0.14,-0.01,0.02,-0.01,0.09,0.09,1,-0.07,0.18,-0.08,0.04,0.22,-0.03,0.09,0.10,0.10,0.05,0.13,-0.02,0.02,0.13,,0.03,0.09
trigger,0.04,0.15,,0.09,0.10,0.06,0.17,0.04,0.11,0.08,0.11,0.07,-0.00,0.08,0.06,0.16,0.13,-0.00,-0.03,0.10,0.14,0.04,0.08,-0.02,0.02,0.02,0.15,0.15,0.10,0.04,-0.07,1,0.17,0.09,0.04,0.12,0.12,0.08,0.07,0.04,0.11,0.16,0.03,-0.00,0.16,,0.03,0.11
bowler hat,0.06,0.17,,-0.02,0.53,0.13,0.24,0.04,0.08,0.05,0.04,0.30,-0.03,0.11,0.21,0.31,0.12,0.13,0.24,0.20,0.06,0.10,0.25,0.23,0.12,0.10,0.08,0.00,0.29,0.08,0.18,0.17,1,0.07,-0.00,0.34,0.00,0.26,0.34,0.18,0.15,0.49,0.08,0.04,0.55,,0.06,0.30
headphones,0.01,-0.01,,-0.02,0.14,0.10,0.06,-0.08,-0.04,-0.02,-0.02,0.03,0.09,0.02,0.09,0.05,0.11,0.02,0.10,-0.01,0.07,-0.01,0.03,0.02,0.04,0.12,0.02,-0.02,0.02,-0.01,-0.08,0.09,0.07,1,-0.01,0.01,-0.05,0.06,0.08,0.04,0.01,0.04,-0.02,0.07,0.06,,0.09,-0.04
file,-0.02,0.04,,-0.00,0.00,0.01,0.05,-0.00,-0.03,-0.01,0.03,0.01,-0.01,-0.01,0.04,0.00,0.05,0.13,0.04,0.02,0.07,0.06,0.04,-0.03,0.02,-0.01,0.01,0.01,0.01,0.03,0.04,0.04,-0.00,-0.01,1,0.07,0.01,-0.03,0.02,0.08,0.05,0.08,-0.01,0.02,0.00,,0.16,0.00
bench,0.09,0.06,,0.04,0.21,0.06,0.33,0.10,0.14,0.16,0.08,0.20,-0.00,0.07,0.15,0.30,0.25,0.08,0.18,0.31,0.20,0.10,0.22,0.07,0.17,0.03,0.08,0.13,0.17,0.22,0.22,0.12,0.34,0.01,0.07,1,-0.06,0.20,0.18,0.13,0.36,0.36,0.11,-0.02,0.38,,0.12,0.21
navel,-0.05,0.05,,0.16,0.02,0.01,0.06,-0.03,0.09,0.07,0.04,-0.04,-0.05,-0.02,-0.04,0.08,0.04,-0.01,0.02,0.01,0.01,0.01,-0.01,-0.03,-0.02,0.03,-0.01,0.14,0.15,0.04,-0.03,0.12,0.00,-0.05,0.01,-0.06,1,-0.03,-0.01,0.07,0.01,0.03,-0.01,-0.00,0.03,,0.01,0.14
canister,0.09,-0.02,,-0.05,0.20,0.05,0.01,-0.01,-0.09,0.16,0.01,0.10,-0.01,0.01,0.07,0.01,0.04,0.11,0.13,0.19,0.04,0.09,0.04,0.08,-0.00,-0.04,0.06,-0.00,0.00,0.04,0.09,0.08,0.26,0.06,-0.03,0.20,-0.03,1,0.08,0.03,-0.04,0.23,-0.05,0.07,0.27,,0.05,0.07
tiara,0.00,-0.02,,-0.00,0.25,-0.06,0.03,-0.09,0.06,-0.03,-0.04,0.14,0.22,-0.02,0.06,0.08,0.01,0.05,0.17,0.08,0.05,-0.03,0.15,0.06,0.12,0.04,0.01,-0.03,0.19,0.04,0.10,0.07,0.34,0.08,0.02,0.18,-0.01,0.08,1,0.04,0.06,0.03,0.04,-0.00,0.07,,-0.01,0.11
hopscotch,0.06,0.05,,0.13,0.11,0.01,0.01,0.05,0.02,-0.00,-0.03,0.06,0.02,0.04,0.18,0.11,0.05,0.16,0.12,0.14,0.01,0.09,-0.06,0.04,-0.01,0.12,-0.04,-0.06,0.13,0.28,0.10,0.04,0.18,0.04,0.08,0.13,0.07,0.03,0.04,1,0.09,0.19,-0.02,-0.04,0.13,,0.04,0.07
trophy,0.06,0.13,,-0.05,0.05,0.04,0.12,-0.11,0.03,0.05,0.03,0.09,-0.02,0.08,0.05,0.20,0.18,-0.01,0.05,0.14,0.08,0.06,0.12,0.11,0.11,-0.02,0.04,0.17,0.15,0.21,0.05,0.11,0.15,0.01,0.05,0.36,0.01,-0.04,0.06,0.09,1,0.08,0.03,-0.01,0.09,,0.07,0.16
punching bag,0.21,0.16,,0.02,0.34,0.18,0.21,0.18,0.06,0.11,0.09,0.18,-0.00,0.08,0.27,0.25,0.13,0.25,0.31,0.14,0.14,0.14,0.06,0.19,0.09,0.11,0.06,0.12,0.26,0.07,0.13,0.16,0.49,0.04,0.08,0.36,0.03,0.23,0.03,0.19,0.08,1,0.16,0.02,0.91,,0.20,0.34
jet,0.06,0.03,,0.11,0.07,0.02,0.00,-0.03,0.06,0.05,0.14,0.05,0.06,0.24,0.04,0.14,0.15,0.03,0.07,0.05,0.11,-0.05,0.11,0.07,0.01,0.12,0.06,0.27,0.07,-0.02,-0.02,0.03,0.08,-0.02,-0.01,0.11,-0.01,-0.05,0.04,-0.02,0.03,0.16,1,0.04,0.16,,0.08,0.05
telegraph,-0.01,0.01,,-0.05,0.03,-0.02,-0.00,0.00,-0.07,0.06,0.06,0.02,-0.02,0.06,0.02,0.00,0.06,0.03,0.04,-0.00,0.09,0.05,0.12,-0.01,0.06,0.00,0.00,-0.01,0.03,-0.02,0.02,-0.00,0.04,0.07,0.02,-0.02,-0.00,0.07,-0.00,-0.04,-0.01,0.02,0.04,1,0.03,,0.11,0.07
bag,0.23,0.19,,0.02,0.37,0.22,0.18,0.17,0.04,0.14,0.04,0.23,-0.01,0.09,0.29,0.23,0.13,0.25,0.24,0.13,0.08,0.16,0.08,0.17,0.10,0.15,0.06,0.13,0.29,0.03,0.13,0.16,0.55,0.06,0.00,0.38,0.03,0.27,0.07,0.13,0.09,0.91,0.16,0.03,1,,0.11,0.38
laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tape measure,0.06,0.03,,0.02,0.06,0.06,0.16,-0.02,0.02,0.07,0.00,0.04,0.06,0.00,0.22,0.12,0.22,0.03,0.07,0.13,0.11,0.01,-0.04,0.05,0.06,0.06,0.09,0.10,0.07,0.11,0.03,0.03,0.06,0.09,0.16,0.12,0.01,0.05,-0.01,0.04,0.07,0.20,0.08,0.11,0.11,,1,0.13
bucket,0.10,0.26,,0.05,0.21,0.22,0.17,0.07,0.06,0.36,0.11,0.27,0.01,0.11,0.20,0.24,0.18,0.08,0.15,0.27,0.08,0.07,0.12,0.16,0.19,-0.01,0.07,0.19,0.21,0.06,0.09,0.11,0.30,-0.04,0.00,0.21,0.14,0.07,0.11,0.07,0.16,0.34,0.05,0.07,0.38,,0.13,1
